game_name,num_trials,chance,target_index
快速归类PRO,200,0.5,nc
捉虫高级简版,324,0.5,nc
塔罗牌,200,0.5,nc
数感,160,0.5,pc
数字卡片PRO,80,0.5,pc
格子卡片,80,0.5,pc
美术卡片,80,0.5,pc
文字卡片,80,0.5,pc
魔术师高级,,,
变色魔块PRO,192,0.5,pc_go
多彩文字PRO,192,0.25,pc
卡片分类PRO,200,0.5,pc
候鸟迁徙PRO,192,0.25,pc
方向临摹,,,
按图索骥,,,
萤火虫PRO,,,
火眼金睛,,,
位置记忆PRO,,,
宇宙黑洞A,,,
过目不忘PRO,,,
人工语言-中级,,,
各得其所,,,
连点成画PRO,,,
蝴蝶照相机,,,
密码箱,,,
超级秒表PRO,,,
一心二用PRO,,,
连续再认,,,
图片记忆,120,0.33,pc
言语记忆,,,
强化学习,,,
语义判断,,,
声调判断,,,
太空飞船PRO,200,0.25,pc
察颜观色PRO,200,0.5,pc
顺背数PRO,,,
图形推理,,,
数字推理,,,
文字推理,,,
三维心理旋转测试,,,
时长分辨,,,
时间顺序判断,,,
节奏感知,,,
专注大师_中级,,,
眼耳并用,,,
变戏法,144,0.25,nc
舒尔特方格（中级）,,,
欢乐餐厅,,,
登陆月球（中级）,,,
速算师（中级）,,,
图形折叠,,,
远距离联想,,,
幸运小球PRO,,,
打靶场,,,
雪花收藏家,,,
我是大厨,,,
魔术师终极,80,0.5,pc
小狗回家,,,
瑞文高级推理,,,
欢乐餐厅PRO,,,
连续再认PRO,160,0.5,nc
学习动机和策略问卷,,,
学业成就归因量表,,,
元认知意识问卷,,,
中国少年非智力个性心理特征问卷,,,
正负情绪测查,,,
中学生心理健康量表,,,
青少年心理韧性量表,,,
中学生学业自我效能感量表,,,
成长型思维量表,,,
职业价值观量表,,,
霍兰德职业测验,,,
大五人格测验BFAS版本,,,
视觉记忆测试-学习阶段,,,
平面展开测试,,,
视觉记忆测试-测试阶段,,,
物体旋转测试,,,
视角判断测试,,,
