game_name,method
按图索骥,prophecy
变戏法,prophecy
察颜观色PRO,prophecy
超级秒表PRO,prophecy
登陆月球（中级）,prophecy
多彩文字PRO,prophecy
方向临摹,prophecy
格子卡片,prophecy
各得其所,prophecy
候鸟迁徙PRO,prophecy
卡片分类PRO,prophecy
快速归类PRO,prophecy
连续再认A,prophecy
连续再认B,prophecy
连续再认PRO,prophecy
美术卡片,prophecy
魔术师终极,prophecy
人工语言-中级,prophecy
数感,prophecy
数字卡片,prophecy
太空飞船PRO,prophecy
图片记忆A,prophecy
图片记忆B,prophecy
位置记忆PRO,none
文字卡片,prophecy
言语记忆A,prophecy
言语记忆B,prophecy
眼耳并用,prophecy
捉虫高级简版,prophecy
欢乐餐厅PRO,prophecy
瑞文高级推理,alpha
三维心理旋转测试A,alpha
三维心理旋转测试B,alpha
数字推理A,alpha
数字推理B,alpha
图形推理A,alpha
图形推理B,alpha
图形折叠A,alpha
图形折叠B,alpha
文字推理A,alpha
文字推理B,alpha
远距离联想A,alpha
远距离联想B,alpha
变色魔块PRO,none
打靶场,none
过目不忘PRO,none
蝴蝶照相机,none
欢乐餐厅,none
火眼金睛,none
节奏感知,none
连点成画PRO,none
密码箱,none
强化学习,none
声调判断,none
时间顺序判断,none
时长分辨,none
舒尔特方格（中级）,none
顺背数PRO,none
速算师（中级）,none
塔罗牌,none
我是大厨,none
小狗回家,none
幸运小球,none
雪花收藏家,none
一心二用PRO,none
萤火虫PRO,none
宇宙黑洞A,none
语义判断,none
专注大师_中级,none
